Time(s),CH1V
1.737500e+00,-9.939955e-01
1.740000e+00,-9.434845e-01
1.742500e+00,-7.968947e-01
1.745000e+00,-5.606847e-01
1.747500e+00,-2.864420e-01
1.750000e+00,2.439840e-02
1.752500e+00,3.320494e-01
1.755000e+00,6.030630e-01
1.757500e+00,8.261170e-01
1.760000e+00,9.525741e-01
1.762500e+00,1.001570e+00
1.765000e+00,9.338766e-01
1.767500e+00,7.834995e-01
1.770000e+00,5.627180e-01
1.772500e+00,2.835317e-01
1.775000e+00,-2.726880e-02
1.777500e+00,-3.420560e-01
1.780000e+00,-6.076477e-01
1.782500e+00,-8.330936e-01
1.785000e+00,-9.529328e-01
1.787500e+00,-1.003045e+00
1.790000e+00,-9.460758e-01
1.792500e+00,-7.986489e-01
1.795000e+00,-5.684189e-01
1.797500e+00,-2.795052e-01
1.800000e+00,3.289000e-02
1.802500e+00,3.324082e-01
1.805000e+00,6.052158e-01
1.807500e+00,8.266751e-01
1.810000e+00,9.580756e-01
1.812500e+00,9.999755e-01
1.815000e+00,9.348733e-01
1.817500e+00,7.840577e-01
1.820000e+00,5.563791e-01
1.822500e+00,2.763557e-01
1.825000e+00,-3.639827e-02
1.827500e+00,-3.422154e-01
1.830000e+00,-6.083254e-01
1.832500e+00,-8.247217e-01
1.835000e+00,-9.573182e-01
1.837500e+00,-9.941151e-01
1.840000e+00,-9.503016e-01
1.842500e+00,-7.957785e-01
1.845000e+00,-5.617611e-01
1.847500e+00,-2.847676e-01
1.850000e+00,2.284360e-02
1.852500e+00,3.395842e-01
1.855000e+00,6.132689e-01
1.857500e+00,8.201370e-01
1.860000e+00,9.518564e-01
1.862500e+00,1.000813e+00
1.865000e+00,9.412918e-01
1.867500e+00,7.831806e-01
1.870000e+00,5.572562e-01
1.872500e+00,2.761165e-01
1.875000e+00,-3.564080e-02
1.877500e+00,-3.418965e-01
1.880000e+00,-6.072490e-01
1.882500e+00,-8.335322e-01
1.885000e+00,-9.621421e-01
1.887500e+00,-9.965869e-01
1.890000e+00,-9.397370e-01
1.892500e+00,-7.856125e-01
1.895000e+00,-5.631964e-01
1.897500e+00,-2.764354e-01
1.900000e+00,2.471733e-02
1.902500e+00,3.301757e-01
1.905000e+00,6.079666e-01
1.907500e+00,8.242432e-01
1.910000e+00,9.546072e-01
1.912500e+00,9.938360e-01
1.915000e+00,9.440824e-01
1.917500e+00,7.853334e-01
1.920000e+00,5.536283e-01
1.922500e+00,2.739238e-01
1.925000e+00,-2.643160e-02
1.927500e+00,-3.353584e-01
1.930000e+00,-6.134284e-01
1.932500e+00,-8.311402e-01
1.935000e+00,-9.656503e-01
1.937500e+00,-1.000853e+00
1.940000e+00,-9.386207e-01
1.942500e+00,-7.882835e-01
1.945000e+00,-5.665451e-01
1.947500e+00,-2.764354e-01
1.950000e+00,3.328867e-02
1.952500e+00,3.369929e-01
1.955000e+00,6.137074e-01
1.957500e+00,8.180639e-01
1.960000e+00,9.590325e-01
1.962500e+00,9.979423e-01
1.965000e+00,9.351524e-01
1.967500e+00,7.827022e-01
1.970000e+00,5.580137e-01
1.972500e+00,2.789471e-01
1.975000e+00,-3.556106e-02
1.977500e+00,-3.342022e-01
1.980000e+00,-6.170961e-01
1.982500e+00,-8.304625e-01
1.985000e+00,-9.627799e-01
1.987500e+00,-9.977828e-01
1.990000e+00,-9.455575e-01
1.992500e+00,-7.893998e-01
1.995000e+00,-5.716879e-01
1.997500e+00,-2.792261e-01
2.000000e+00,2.455786e-02
2.002500e+00,3.357969e-01
2.005000e+00,6.118337e-01
2.007500e+00,8.278711e-01
2.010000e+00,9.496638e-01
2.012500e+00,1.000613e+00
2.015000e+00,9.355909e-01
2.017500e+00,7.838584e-01
2.020000e+00,5.545054e-01
2.022500e+00,2.799437e-01
2.025000e+00,-3.484346e-02
2.027500e+00,-3.415377e-01
2.030000e+00,-6.104782e-01
2.032500e+00,-8.300239e-01
2.035000e+00,-9.645739e-01
2.037500e+00,-9.982214e-01
2.040000e+00,-9.392586e-01
2.042500e+00,-7.932669e-01
2.045000e+00,-5.663059e-01
2.047500e+00,-2.839304e-01
2.050000e+00,2.308280e-02
2.052500e+00,3.289398e-01
2.055000e+00,6.123918e-01
2.057500e+00,8.201370e-01
2.060000e+00,9.524943e-01
2.062500e+00,9.992180e-01
2.065000e+00,9.360693e-01
2.067500e+00,7.908749e-01
2.070000e+00,5.577346e-01
2.072500e+00,2.734455e-01
2.075000e+00,-2.563426e-02
2.077500e+00,-3.355976e-01
2.080000e+00,-6.094018e-01
2.082500e+00,-8.308612e-01
2.085000e+00,-9.628995e-01
2.087500e+00,-1.003763e+00
2.090000e+00,-9.462352e-01
2.092500e+00,-7.960176e-01
2.095000e+00,-5.705318e-01
2.097500e+00,-2.753590e-01
2.100000e+00,2.388013e-02
2.102500e+00,3.380693e-01
2.105000e+00,6.146642e-01
2.107500e+00,8.271137e-01
2.110000e+00,9.584345e-01
